index	token	frequency
1822	rush	9
1823	sade	9
1824	sadly	9
1825	sadness	9
1826	saying	9
1827	scenario	9
1828	science	9
1829	scratch	9
1830	secret	9
1831	self-conscious	9
1832	sentiment	9
1833	service	9
1834	showing	9
1835	skip	9
1836	spare	9
1837	speaking	9
1838	spectacular	9
1839	starring	9
1840	started	9
1841	stuck	9
1842	subtlety	9
1843	sugar	9
1844	talk	9
1845	teenage	9
1846	tender	9
1847	terrifying	9
1848	testament	9
1849	throws	9
1850	total	9
1851	touches	9
1852	traditional	9
1853	tsai	9
1854	understanding	9
1855	unintentionally	9
1856	unnecessary	9
1857	unpleasant	9
1858	uplifting	9
1859	van	9
1860	walk	9
1861	wallace	9
1862	week	9
1863	well-meaning	9
1864	willing	9
1865	winds	9
1866	witch	9
1867	within	9
1868	wow	9
1869	$	8
1870	'70s	8
1871	51	8
1872	abandon	8
1873	abstract	8
1874	accessible	8
1875	ahead	8
1876	aims	8
1877	americans	8
1878	amounts	8
1879	amused	8
1880	antwone	8
1881	appear	8
1882	arnold	8
1883	attractive	8
1884	background	8
1885	belly	8
1886	biting	8
1887	bleak	8
1888	bold	8
1889	breathtaking	8
1890	britney	8
1891	broad	8
1892	brutally	8
1893	buoyant	8
1894	camp	8
1895	candy	8
1896	capture	8
1897	category	8
1898	caught	8
1899	channel	8
1900	characterizations	8
1901	charmer	8
1902	christian	8
1903	cliched	8
1904	comedian	8
1905	competent	8
1906	condition	8
1907	conversations	8
1908	crap	8
1909	creativity	8
1910	credibility	8
1911	credible	8
1912	crisp	8
1913	crude	8
1914	damn	8
1915	dangerous	8
1916	daring	8
1917	dealing	8
1918	delivering	8
1919	demonstrates	8
1920	design	8
1921	determination	8
1922	dignity	8
1923	discovery	8
1924	dogs	8
1925	drawn	8
1926	drug	8
1927	due	8
1928	dying	8
1929	dysfunctional	8
1930	easier	8
1931	eccentric	8
1932	eddie	8
1933	elaborate	8
1934	encounter	8
1935	endeavor	8
1936	engaged	8
1937	english	8
1938	enigma	8
1939	enthusiasm	8
1940	eric	8
1941	evocative	8
1942	excess	8
1943	executed	8
1944	expectations	8
1945	exploitation	8
1946	exploitative	8
1947	exquisite	8
1948	fake	8
1949	false	8
1950	fanciful	8
1951	fighting	8
1952	fly	8
1953	follow	8
1954	forgive	8
1955	frailty	8
1956	friends	8
1957	gag	8
1958	gangs	8
1959	generate	8
1960	gifted	8
1961	glory	8
1962	gosling	8
1963	hair	8
1964	halloween	8
1965	hands	8
1966	harris	8
1967	harrowing	8
1968	heartbreaking	8
1969	helps	8
1970	herzog	8
1971	hill	8
1972	hip	8
1973	hong	8
1974	hoping	8
1975	horrifying	8
1976	hugely	8
1977	husband	8
1978	hybrid	8
1979	image	8
1980	inane	8
1981	incoherent	8
1982	innocence	8
1983	inoffensive	8
1984	insights	8
1985	kapur	8
1986	kong	8
1987	kung	8
1988	landscape	8
1989	laughing	8
1990	learn	8
1991	legged	8
1992	letting	8
1993	lightweight	8
1994	literary	8
1995	looked	8
1996	loves	8
1997	lyrical	8
1998	maintains	8
1999	market	8
2000	martha	8
2001	masterful	8
2002	matinee	8
2003	mature	8
2004	meant	8
2005	memories	8
2006	monsters	8
2007	muddled	8
2008	myself	8
2009	nair	8
2010	narc	8
2011	notion	8
2012	ode	8
2013	pair	8
2014	partly	8
2015	pat	8
2016	path	8
2017	patience	8
2018	photographed	8
2019	pile	8
2020	pinocchio	8
2021	planet	8
2022	poem	8
2023	poignancy	8
2024	portrayal	8
2025	pow	8
2026	pretension	8
2027	prison	8
2028	psychology	8
2029	punch	8
2030	references	8
2031	released	8
2032	relentlessly	8
2033	remain	8
2034	required	8
2035	resist	8
2036	resonance	8
2037	respectable	8
2038	returns	8
2039	revelatory	8
2040	richly	8
2041	rip-off	8
2042	ritchie	8
2043	rob	8
2044	roman	8
2045	russian	8
2046	saccharine	8
2047	safe	8
2048	saga	8
2049	sara	8
2050	saturday	8
2051	saving	8
2052	says	8
2053	schmidt	8
2054	scores	8
2055	screenwriters	8
2056	secretary	8
2057	sees	8
2058	self-indulgent	8
2059	settles	8
2060	shocking	8
2061	shoot	8
2062	shooting	8
2063	silence	8
2064	silliness	8
2065	simultaneously	8
2066	sitcom	8
2067	slap	8
2068	slip	8
2069	smoochy	8
2070	smug	8
2071	soldiers	8
2072	song	8
2073	sour	8
2074	splendid	8
2075	spoof	8
2076	stand-up	8
2077	state	8
2078	stays	8
2079	stealing	8
2080	stereotypes	8
2081	stilted	8
2082	stomach	8
2083	straightforward	8
2084	stuart	8
2085	succeed	8
2086	suffering	8
2087	tasty	8
2088	teacher	8
2089	teenagers	8
2090	theaters	8
2091	theatrical	8
2092	timing	8
2093	tout	8
2094	tradition	8
2095	trash	8
2096	trek	8
2097	turning	8
2098	tuxedo	8
2099	uncompromising	8
2100	unflinching	8
2101	unfocused	8
2102	unless	8
2103	utter	8
2104	victims	8
2105	vital	8
2106	wacky	8
2107	wannabe	8
2108	warning	8
2109	whimsical	8
2110	wilde	8
2111	wind	8
2112	xxx	8
2113	yu	8
2114	'em	7
2115	15	7
2116	\/	7
2117	absurd	7
2118	acceptable	7
2119	account	7
2120	adams	7
2121	adventures	7
2122	after-school	7
2123	ai	7
2124	aimed	7
2125	allow	7
2126	alternately	7
2127	alternative	7
2128	am	7
2129	ambition	7
2130	amy	7
2131	answer	7
2132	arrives	7
2133	artifice	7
2134	artists	7
2135	assassin	7
2136	astonishing	7
2137	authority	7
2138	baffling	7
2139	bartleby	7
2140	beast	7
2141	behold	7
2142	belt	7
2143	bigger	7
2144	biopic	7
2145	bloody	7
2146	boasts	7
2147	books	7
2148	breaks	7
2149	breezy	7
2150	bride	7
2151	brilliantly	7
2152	bringing	7
2153	brother	7
2154	build	7
2155	bullets	7
2156	busy	7
2157	cage	7
2158	came	7
2159	cannes	7
2160	cares	7
2161	carry	7
2162	carvey	7
2163	casual	7
2164	celebrates	7
2165	center	7
2166	chabrol	7
2167	changes	7
2168	chaotic	7
2169	charismatic	7
2170	chases	7
2171	chick	7
2172	childhood	7
2173	chills	7
2174	chilly	7
2175	china	7
2176	choose	7
2177	clause	7
2178	closely	7
2179	co-writer	7
2180	combines	7
2181	comfort	7
2182	comfortable	7
2183	committed	7
2184	comparison	7
2185	complexity	7
2186	complications	7
2187	computer	7
2188	con	7
2189	conduct	7
2190	constant	7
2191	contains	7
2192	context	7
2193	contrivances	7
2194	convinced	7
2195	copy	7
2196	corner	7
2197	corny	7
2198	crass	7
2199	cultures	7
2200	curious	7
2201	curiously	7
2202	current	7
2203	cutting	7
2204	dahmer	7
2205	darker	7
2206	deadpan	7
2207	deceptively	7
2208	delicately	7
2209	demanding	7
2210	describe	7
2211	deuces	7
2212	dickens	7
2213	diesel	7
2214	directs	7
2215	disappointed	7
2216	display	7
2217	disposable	7
2218	domestic	7
2219	dong	7
2220	downbeat	7
2221	drags	7
2222	drop	7
2223	drugs	7
2224	dvd	7
2225	e.t.	7
2226	edited	7
2227	element	7
2228	eloquent	7
2229	embarrassment	7
2230	emerge	7
2231	empire	7
2232	enterprise	7
2233	entertain	7
2234	enthralling	7
2235	essence	7
2236	evans	7
2237	exceptional	7
2238	exceptionally	7
2239	expectation	7
2240	explosions	7
2241	extended	7
2242	fable	7
2243	faster	7
2244	fate	7
2245	feature-length	7
2246	featuring	7
2247	fights	7
2248	figures	7
2249	filling	7
2250	finely	7
2251	first-rate	7
2252	fish	7
2253	flash	7
2254	friend	7
2255	frightening	7
2256	gently	7
2257	ghetto	7
2258	good-natured	7
2259	grandeur	7
2260	handled	7
2261	happiness	7
2262	harry	7
2263	hear	7
2264	herself	7
2265	hitting	7
2266	hook	7
2267	hopkins	7
2268	hugh	7
2269	huppert	7
2270	imitation	7
2271	improbable	7
2272	inevitable	7
2273	inner	7
2274	insomnia	7
2275	inspirational	7
2276	instantly	7
2277	integrity	7
2278	ironic	7
2279	irony	7
2280	j.	7
2281	jackie	7
2282	jaglom	7
2283	junk	7
2284	k-19	7
2285	keeping	7
2286	kline	7
2287	knew	7
2288	labored	7
2289	labute	7
2290	lackluster	7
2291	larger	7
2292	laughable	7
2293	leaden	7
2294	leigh	7
2295	life-affirming	7
2296	lifeless	7
2297	likable	7
2298	literally	7
2299	loneliness	7
2300	loose	7
2301	madness	7
2302	marriage	7
2303	marvelous	7
2304	mean-spirited	7
2305	merit	7
2306	mouth	7
2307	nation	7
2308	nickleby	7
2309	nijinsky	7
2310	nomination	7
2311	nonsense	7
2312	notorious	7
2313	nuanced	7
2314	observant	7
2315	obsession	7
2316	odds	7
2317	packed	7
2318	paper	7
2319	passionate	7
2320	payoff	7
2321	peculiar	7
2322	pedestrian	7
2323	peek	7
2324	pic	7
2325	players	7
2326	plotted	7
2327	pokemon	7
2328	police	7
2329	ponder	7
2330	ponderous	7
2331	portrays	7
2332	positive	7
2333	potent	7
2334	preposterous	7
2335	pretends	7
2336	private	7
2337	problematic	7
2338	professional	7
2339	propaganda	7
2340	quirks	7
2341	race	7
2342	ramsay	7
2343	recycled	7
2344	rent	7
2345	replaced	7
2346	rewards	7
2347	rhythm	7
2348	rise	7
2349	roles	7
2350	rollerball	7
2351	roots	7
2352	rote	7
2353	run-of-the-mill	7
2354	sand	7
2355	sandra	7
2356	satirical	7
2357	savvy	7
2358	scattered	7
2359	search	7
2360	seemingly	7
2361	send	7
2362	serve	7
2363	serviceable	7
2364	serving	7
2365	seven	7
2366	shadows	7
2367	shakespeare	7
2368	shanghai	7
2369	shocks	7
2370	silver	7
2371	similar	7
2372	sink	7
2373	sinks	7
2374	slowly	7
2375	sly	7
2376	smartly	7
2377	snipes	7
2378	sobering	7
2379	soulless	7
2380	souls	7
2381	southern	7
2382	sparkling	7
2383	speaks	7
2384	spirited	7
2385	spirits	7
2386	spite	7
2387	staged	7
2388	startling	7
2389	stop	7
2390	stops	7
2391	strain	7
2392	street	7
2393	strike	7
2394	string	7
2395	stunt	7
2396	substantial	7
2397	subversive	7
2398	surreal	7
2399	sweetly	7
2400	t	7
2401	tales	7
2402	technical	7
2403	technology	7
2404	tends	7
2405	test	7
2406	thematic	7
2407	thick	7
2408	thrill	7
2409	throwing	7
2410	thumbs	7
2411	ticket	7
2412	tiny	7
2413	tour	7
2414	trademark	7
2415	tragedies	7
2416	trailer	7
2417	transcends	7
2418	trapped	7
2419	trashy	7
2420	unconvincing	7
2421	undeniable	7
2422	understated	7
2423	unimaginative	7
2424	unoriginal	7
2425	unpredictable	7
2426	vapid	7
2427	variety	7
2428	victim	7
2429	villain	7
2430	vincent	7
2431	vintage	7
2432	wave	7
2433	weeks	7
2434	well-crafted	7
2435	west	7
2436	whenever	7
2437	window	7
2438	windtalkers	7
2439	witless	7
2440	wondering	7
2441	ya-ya	7
2442	younger	7
2443	1	6
2444	13	6
2445	3	6
2446	8	6
2447	90-minute	6
2448	absurdity	6
2449	abuse	6
2450	academy	6
2451	accents	6
2452	achingly	6
2453	advantage	6
2454	advice	6
2455	ah	6
2456	alas	6
2457	allegory	6
2458	amid	6
2459	anne	6
2460	anybody	6
2461	anyway	6
2462	appropriate	6
2463	argue	6
2464	astonishingly	6
2465	attal	6
2466	attitude	6
2467	award	6
2468	awe	6
2469	ballistic	6
2470	bard	6
2471	basically	6
2472	big-screen	6
2473	blame	6
2474	blast	6
2475	blow	6
2476	bodies	6
2477	bored	6
2478	borrows	6
2479	box	6
2480	breath	6
2481	brisk	6
2482	brosnan	6
2483	brutal	6
2484	buffs	6
2485	built	6
2486	cable	6
2487	caine	6
2488	capacity	6
2489	carefully	6
2490	carried	6
2491	cat	6
2492	cell	6
2493	choice	6
2494	circuit	6
2495	cleverly	6
2496	climactic	6
2497	clooney	6
2498	closer	6
2499	clumsily	6
2500	coherent	6
2501	collapses	6
2502	colors	6
2503	combined	6
2504	concert	6
2505	confident	6
2506	connect	6
2507	considered	6
2508	controversy	6
2509	convenient	6
2510	convey	6
2511	convince	6
2512	cop	6
2513	cost	6
2514	costume	6
2515	creation	6
2516	crisis	6
2517	critics	6
2518	crudup	6
2519	cuts	6
2520	cynicism	6
2521	daily	6
2522	dare	6
2523	decided	6
2524	decidedly	6
2525	deeds	6
2526	delicious	6
2527	delights	6
2528	demographic	6
2529	developed	6
2530	disjointed	6
2531	diversion	6
2532	documentaries	6
2533	don	6
2534	double	6
2535	drawing	6
2536	draws	6
2537	drive	6
2538	dud	6
2539	duke	6
2540	earnestness	6
2541	eastwood	6
2542	eat	6
2543	effortlessly	6
2544	elegantly	6
2545	emphasizes	6
2546	encouraging	6
2547	endlessly	6
2548	engage	6
2549	enigmatic	6
2550	enthusiastic	6
2551	equal	6
2552	erotic	6
2553	escapism	6
2554	esther	6
2555	evelyn	6
2556	everyday	6
2557	evokes	6
2558	examines	6
2559	existence	6
2560	exotic	6
2561	explore	6
2562	exploring	6
2563	fairy	6
2564	famous	6
2565	fancy	6
2566	fantasies	6
2567	feat	6
2568	fellow	6
2569	fills	6
2570	flamboyant	6
2571	flow	6
2572	following	6
2573	ford	6
2574	former	6
2575	france	6
2576	freeman	6
2577	freshness	6
2578	frustration	6
2579	garbage	6
2580	generous	6
2581	glossy	6
2582	goldmember	6
2583	grab	6
2584	grating	6
2585	grey	6
2586	gun	6
2587	hallmark	6
2588	handful	6
2589	hanks	6
2590	hannibal	6
2591	happening	6
2592	hartley	6
2593	hastily	6
2594	haynes	6
2595	henry	6
2596	heroes	6
2597	heroine	6
2598	highest	6
2599	holm	6
2600	honesty	6
2601	hoped	6
2602	humorless	6
2603	hype	6
2604	impeccable	6
2605	impostor	6
2606	inconsequential	6
2607	inexplicable	6
2608	ingenious	6
2609	inherent	6
2610	insanely	6
2611	inspire	6
2612	insulting	6
2613	intent	6
2614	intermittently	6
2615	interview	6
2616	intimacy	6
2617	intricate	6
2618	irish	6
2619	issue	6
2620	japan	6
2621	jealousy	6
2622	jim	6
2623	judd	6
2624	kidman	6
2625	kill	6
2626	kinda	6
2627	lan	6
2628	lane	6
2629	language	6
2630	later	6
2631	latter	6
2632	laugh-out-loud	6
2633	laughed	6
2634	layers	6
2635	lends	6
2636	lesser	6
2637	lie	6
2638	lifestyle	6
2639	lifetime	6
2640	lingering	6
2641	lips	6
2642	lively	6
2643	locations	6
2644	longing	6
2645	lopez	6
2646	losing	6
2647	lush	6
2648	magnificent	6
2649	maintain	6
2650	managed	6
2651	marvel	6
2652	masterfully	6
2653	matthew	6
2654	meaningful	6
2655	measure	6
2656	measured	6
2657	mechanical	6
2658	meets	6
2659	melancholy	6
2660	metropolis	6
2661	middle-aged	6
2662	minds	6
2663	minute	6
2664	momentum	6
2665	morality	6
2666	morning	6
2667	mothman	6
2668	movements	6
2669	murky	6
2670	named	6
2671	neat	6
2672	necessarily	6
2673	neil	6
2674	nerve	6
2675	nightmare	6
2676	nights	6
2677	noble	6
2678	nonetheless	6
2679	note	6
2680	occasional	6
2681	oh	6
2682	order	6
2683	outing	6
2684	outstanding	6
2685	overlong	6
2686	pale	6
2687	palma	6
2688	parade	6
2689	paradiso	6
2690	pastiche	6
2691	pathos	6
2692	payne	6
2693	pays	6
2694	performed	6
2695	perverse	6
2696	philosophy	6
2697	physical	6
2698	piano	6
2699	pleasing	6
2700	plympton	6
2701	precisely	6
2702	predecessors	6
2703	pretensions	6
2704	primarily	6
2705	properly	6
2706	prospect	6
2707	proud	6
2708	providing	6
2709	psychologically	6
2710	pulp	6
2711	racial	6
2712	ranks	6
2713	reasons	6
2714	redemption	6
2715	reel	6
2716	refusal	6
2717	reggio	6
2718	remembered	6
2719	reminiscent	6
2720	rental	6
2721	rescue	6
2722	resembles	6
2723	resolutely	6
2724	reveal	6
2725	rice	6
2726	rings	6
2727	robin	6
2728	rohmer	6
2729	rooting	6
2730	rude	6
2731	sake	6
2732	saved	6
2733	screaming	6
2734	seeking	6
2735	seeming	6
2736	sensual	6
2737	shamelessly	6
2738	shapeless	6
2739	shelf	6
2740	shoulders	6
2741	showcase	6
2742	showcases	6
2743	simplicity	6
2744	sketch	6
2745	sketchy	6
2746	slack	6
2747	slick	6
2748	sluggish	6
2749	smith	6
2750	so-so	6
2751	solidly	6
2752	sophomoric	6
2753	sorvino	6
2754	soulful	6
2755	spears	6
2756	spell	6
2757	spin	6
2758	spot	6
2759	spring	6
2760	squeeze	6
2761	static	6
2762	steers	6
2763	sticks	6
2764	stitch	6
2765	stone	6
2766	store	6
2767	stretched	6
2768	strikes	6
2769	stylistic	6
2770	stylized	6
2771	subculture	6
2772	suggests	6
2773	suited	6
2774	surrounding	6
2775	suspect	6
2776	swallow	6
2777	sweeping	6
2778	sweetness	6
2779	sympathetic	6
2780	talky	6
2781	taylor	6
2782	tear	6
2783	tears	6
2784	technically	6
2785	term	6
2786	terribly	6
2787	text	6
2788	thomas	6
2789	thousands	6
2790	thrillers	6
2791	toback	6
2792	took	6
2793	top-notch	6
2794	topic	6
2795	touched	6
2796	travel	6
2797	traveler	6
2798	treats	6
2799	triangle	6
2800	trite	6
2801	unabashedly	6
2802	uncanny	6
2803	understands	6
2804	uneasy	6
2805	unexpectedly	6
2806	unforced	6
2807	unlikable	6
2808	unnerving	6
2809	unusually	6
2810	urge	6
2811	urgency	6
2812	vague	6
2813	verve	6
2814	wake	6
2815	walked	6
2816	web	6
2817	well-intentioned	6
2818	western	6
2819	whimsy	6
2820	wholly	6
2821	wilson	6
2822	winner	6
2823	wrapped	6
2824	yearning	6
2825	youth	6
2826	'60s	5
2827	100	5
2828	101	5
2829	11	5
2830	1\/2	5
2831	20th	5
2832	21st	5
2833	30	5
2834	4ever	5
2835	80	5
2836	accurate	5
2837	adequate	5
2838	admittedly	5
2839	adventurous	5
2840	aficionados	5
2841	aging	5
2842	aimless	5
2843	album	5
2844	alert	5
2845	alienation	5
2846	aliens	5
2847	alike	5
2848	altogether	5
2849	amazingly	5
2850	ambiguous	5
2851	amiable	5
2852	anachronistic	5
2853	anderson	5
2854	angels	5
2855	anger	5
2856	angry	5
2857	anomie	5
2858	anthony	5
2859	anywhere	5
2860	appalling	5
2861	arguments	5
2862	arrive	5
2863	art-house	5
2864	arts	5
2865	arty	5
2866	aspirations	5
2867	attract	5
2868	audacious	5
2869	auto	5
2870	avary	5
2871	avoids	5
2872	ball	5
2873	ballot	5
2874	banter	5
2875	bar	5
2876	base	5
2877	basis	5
2878	beach	5
2879	begin	5
2880	benefit	5
2881	benjamins	5
2882	bill	5
2883	birot	5
2884	black-and-white	5
2885	blank	5
2886	bogdanovich	5
2887	bogs	5
2888	bow	5
2889	bowling	5
2890	breaking	5
2891	bridge	5
2892	brief	5
2893	brooding	5
2894	bruce	5
2895	bruckheimer	5
2896	bucks	5
2897	buddy	5
2898	building	5
2899	builds	5
2900	burger	5
2901	buried	5
2902	bursts	5
2903	calculated	5
2904	capturing	5
2905	carmen	5
2906	carrying	5
2907	cartoonish	5
2908	cartoons	5
2909	catches	5
2910	celebration	5
2911	celluloid	5
2912	cgi	5
2913	chances	5
2914	characterization	5
2915	charlie	5
2916	charmless	5
2917	chateau	5
2918	cheer	5
2919	cheese	5
2920	chekhov	5
2921	cherish	5
2922	chew	5
2923	chicago	5
2924	chiller	5
2925	chooses	5
2926	chuckles	5
2927	clean	5
2928	cleverness	5
2929	clichéd	5
2930	clockstoppers	5
2931	clothes	5
2932	club	5
2933	clue	5
2934	cohesive	5
2935	collateral	5
2936	compared	5
2937	computer-generated	5
2938	concern	5
2939	connection	5
2940	consciousness	5
2941	consequences	5
2942	conservative	5
2943	considering	5
2944	consistent	5
2945	conspiracy	5
2946	construct	5
2947	contradictory	5
2948	control	5
2949	convoluted	5
2950	coppola	5
2951	costumes	5
2952	cover	5
2953	cox	5
2954	craft	5
2955	crane	5
2956	critical	5
2957	crossroads	5
2958	crucial	5
2959	cry	5
2960	curves	5
2961	cutesy	5
2962	dana	5
2963	dancing	5
2964	darkly	5
2965	dawson	5
2966	decade	5
2967	decency	5
2968	dedication	5
2969	defies	5
2970	definitive	5
2971	del	5
2972	deliberately	5
2973	demons	5
2974	denial	5
2975	denying	5
2976	depends	5
2977	deserved	5
2978	destination	5
2979	destruction	5
2980	devices	5
2981	disappointingly	5
2982	disappointment	5
2983	dish	5
2984	dismissed	5
2985	displays	5
2986	distinctive	5
2987	distinctly	5
2988	divine	5
2989	dogtown	5
2990	dose	5
2991	doses	5
2992	dragons	5
2993	dramas	5
2994	dreadful	5
2995	dressed	5
2996	drink	5
2997	droll	5
2998	drumline	5
2999	dubious	5
3000	duvall	5
3001	eager	5
3002	earlier	5
3003	earn	5
3004	ecks	5
3005	edgy	5
3006	education	5
3007	effectively	5
3008	elusive	5
3009	emphasis	5
3010	empowerment	5
3011	endure	5
3012	enjoyably	5
3013	enormously	5
3014	enter	5
3015	entry	5
3016	episodes	5
3017	equilibrium	5
3018	ethnic	5
3019	evening	5
3020	exaggerated	5
3021	exceedingly	5
3022	excels	5
3023	exception	5
3024	exist	5
3025	existential	5
3026	expense	5
3027	experiment	5
3028	exploit	5
3029	explores	5
3030	exposition	5
3031	express	5
3032	extent	5
3033	extra	5
3034	extravaganza	5
3035	eyre	5
3036	factor	5
3037	fail	5
3038	familial	5
3039	farrelly	5
3040	fathers	5
3041	favorite	5
3042	favors	5
3043	feardotcom	5
3044	feathers	5
3045	feelings	5
3046	feet	5
3047	fence	5
3048	finest	5
3049	fits	5
3050	floor	5
3051	fluid	5
3052	folk	5
3053	followed	5
3054	fool	5
3055	forces	5
3056	format	5
3057	forth	5
3058	foster	5
3059	fourth	5
3060	freedom	5
3061	frontal	5
3062	gang	5
3063	gel	5
3064	gender	5
3065	generates	5
3066	genial	5
3067	giddy	5
3068	gift	5
3069	glorious	5
3070	gloriously	5
3071	goodfellas	5
3072	gore	5
3073	gorgeously	5
3074	gory	5
3075	graceful	5
3076	grasp	5
3077	gravity	5
3078	greene	5
3079	grim	5
3080	guessing	5
3081	hack	5
3082	haneke	5
3083	harder	5
3084	heady	5
3085	heat	5
3086	heavily	5
3087	held	5
3088	hide	5
3089	hilarity	5
3090	hint	5
3091	hollow	5
3092	hoot	5
3093	hunter	5
3094	hypnotic	5
3095	idiosyncratic	5
3096	ignore	5
3097	illustrates	5
3098	immediate	5
3099	immensely	5
3100	impressed	5
3101	improve	5
3102	incident	5
3103	incisive	5
3104	includes	5
3105	incoherence	5
3106	incompetent	5
3107	incomprehensible	5
3108	inconsistent	5
3109	independent	5
3110	indulgent	5
3111	infidelity	5
3112	influence	5
3113	infomercial	5
3114	inhabit	5
3115	initial	5
3116	inner-city	5
3117	innocent	5
3118	installment	5
3119	instincts	5
3120	intensely	5
3121	international	5
3122	invention	5
3123	ironically	5
3124	irresistible	5
3125	island	5
3126	isolation	5
3127	jacquot	5
3128	jagger	5
3129	janice	5
3130	jerry	5
3131	jessica	5
3132	jewish	5
3133	joel	5
3134	jolie	5
3135	jonah	5
3136	juvenile	5
3137	kahlo	5
3138	kicks	5
3139	kiddie	5
3140	known	5
3141	korea	5
3142	korean	5
3143	lampoon	5
3144	lanes	5
3145	le	5
3146	legacy	5
3147	lilo	5
3148	limp	5
3149	listen	5
3150	lovers	5
3151	lucky	5
3152	lump	5
3153	lurid	5
3154	malkovich	5
3155	mann	5
3156	manufactured	5
3157	marginal	5
3158	martial	5
3159	mcgrath	5
3160	meat	5
3161	mediocrity	5
3162	mel	5
3163	menace	5
3164	mental	5
3165	merchant	5
3166	messy	5
3167	michel	5
3168	midnight	5
3169	minimalist	5
3170	misery	5
3171	misses	5
3172	miyazaki	5
3173	moody	5
3174	moonlight	5
3175	morally	5
3176	morvern	5
3177	motions	5
3178	motivated	5
3179	moved	5
3180	mtv	5
3181	mushy	5
3182	muted	5
3183	mysterious	5
3184	narratively	5
3185	naturalistic	5
3186	nelson	5
3187	newcomer	5
3188	niche	5
3189	nobody	5
3190	noise	5
3191	nonsensical	5
3192	notwithstanding	5
3193	noyce	5
3194	nuance	5
3195	o	5
3196	objective	5
3197	obligatory	5
3198	observation	5
3199	opaque	5
3200	openness	5
3201	opportunities	5
3202	ought	5
3203	ourselves	5
3204	outcome	5
3205	overwhelming	5
3206	ozpetek	5
3207	pacino	5
3208	paints	5
3209	pantheon	5
3210	pants	5
3211	paper-thin	5
3212	passable	5
3213	passes	5
3214	pathology	5
3215	patient	5
3216	paxton	5
3217	pedigree	5
3218	penetrating	5
3219	personalities	5
3220	phone	5
3221	phones	5
3222	phony	5
3223	photography	5
3224	piccoli	5
3225	player	5
3226	pleasurable	5
3227	pointed	5
3228	polished	5
3229	politically	5
3230	pool	5
3231	porn	5
3232	portray	5
3233	positively	5
3234	poverty	5
3235	practically	5
3236	praise	5
3237	pratfalls	5
3238	predictability	5
3239	prefer	5
3240	presentation	5
3241	presented	5
3242	primary	5
3243	produce	5
3244	profile	5
3245	proper	5
3246	prophecies	5
3247	proportions	5
3248	pulling	5
3249	putting	5
3250	puzzling	5
3251	quitting	5
3252	radical	5
3253	raised	5
3254	random	5
3255	rank	5
3256	rap	5
3257	rating	5
3258	ready	5
3259	recommended	5
3260	redundant	5
3261	refuses	5
3262	regret	5
3263	rehash	5
3264	relevant	5
3265	relief	5
3266	remembering	5
3267	remind	5
3268	reminder	5
3269	remotely	5
3270	renner	5
3271	reputation	5
3272	require	5
3273	responsible	5
3274	revelation	5
3275	richard	5
3276	richer	5
3277	rising	5
3278	rodriguez	5
3279	root	5
3280	rouge	5
3281	rowdy	5
3282	runner	5
3283	russell	5
3284	sane	5
3285	sarandon	5
3286	sayles	5
3287	scenery	5
3288	schaeffer	5
3289	schwarzenegger	5
3290	scooby	5
3291	scott	5
3292	scream	5
3293	screening	5
3294	seconds	5
3295	seek	5
3296	seeks	5
3297	sell	5
3298	sensational	5
3299	senses	5
3300	sensibility	5
3301	serial	5
3302	sever	5
3303	severe	5
3304	shadyac	5
3305	sheridan	5
3306	shines	5
3307	shining	5
3308	shockingly	5
3309	shrewd	5
3310	shrill	5
3311	significant	5
3312	silent	5
3313	similarly	5
3314	simone	5
3315	sincerity	5
3316	singing	5
3317	sisterhood	5
3318	sisters	5
3319	skins	5
3320	sleep	5
3321	sleeve	5
3322	solaris	5
3323	somebody	5
3324	sorority	5
3325	sorry	5
3326	speak	5
3327	specifically	5
3328	sport	5
3329	spots	5
3330	squanders	5
3331	squarely	5
3332	staggeringly	5
3333	station	5
3334	stephen	5
3335	steve	5
3336	stiff	5
3337	sting	5
3338	struggling	5
3339	student	5
3340	subplots	5
3341	substitute	5
3342	subtly	5
3343	suburban	5
3344	succumbs	5
3345	suck	5
3346	sudden	5
3347	suit	5
3348	sumptuous	5
3349	supernatural	5
3350	support	5
3351	survive	5
3352	swim	5
3353	swimfan	5
3354	system	5
3355	table	5
3356	tambor	5
3357	tap	5
3358	tarantino	5
3359	tasteful	5
3360	taut	5
3361	tawdry	5
3362	teeth	5
3363	telegraphed	5
3364	tense	5
3365	tepid	5
3366	textbook	5
3367	theory	5
3368	threat	5
3369	throw	5
3370	ties	5
3371	tight	5
3372	timeless	5
3373	todd	5
3374	tortured	5
3375	train	5
3376	transcend	5
3377	transforms	5
3378	translation	5
3379	tremendous	5
3380	tried	5
3381	tuck	5
3382	unable	5
3383	unbelievable	5
3384	uncertain	5
3385	uncomfortable	5
3386	uncomfortably	5
3387	undone	5
3388	undoubtedly	5
3389	unintentional	5
3390	unsentimental	5
3391	upper	5
3392	valuable	5
3393	vanity	5
3394	veers	5
3395	vein	5
3396	venture	5
3397	verbal	5
3398	versus	5
3399	videos	5
3400	vietnam	5
3401	virtues	5
3402	visit	5
3403	vitality	5
3404	walsh	5
3405	walter	5
3406	wanting	5
3407	waydowntown	5
3408	wear	5
3409	weighty	5
3410	weirdly	5
3411	weirdness	5
3412	wendigo	5
3413	wet	5
3414	whale	5
3415	wickedly	5
3416	wide	5
